Lineage	Most common countries	Earliest date	# designated	# assigned	Description	WHO Name
B.1.366	United States of America 92.0%, Kenya 3.0%, Mexico 2.0%, Panama 1.0%, Denmark 1.0%	2020-04-27	123	172	USA lineage	-
B.1.367	United Kingdom 30.0%, France 22.0%, Norway 12.0%, Switzerland 9.0%, Italy 7.0%	2020-07-13	571	939	European lineage (mostly France and England)	-
B.1.369	United States of America 94.0%, New_Zealand 2.0%, India 1.0%, Canada 1.0%, Mexico 0.0%	2020-03-11	1505	3353	USA/ New Zealand lineage	-
B.1.369.1	Canada 94.0%, United States of America 6.0%	2020-12-29	25	36	Canada lineage	-
B.1.370	United States of America 98.0%, Morocco 1.0%, United Kingdom 1.0%	2020-03-19	99	122	USA lineage, cleaned up a lot in release 2021-01-20	-
B.1.371	United States of America 99.0%, Egypt 0.0%, Canada 0.0%, Denmark 0.0%, Ecuador 0.0%	2020-03-08	717	868	Danish/ USA lineage, previously part of B.1.21	-
B.1.372	Denmark 93.0%, United Kingdom 3.0%, Sweden 2.0%, Finland 1.0%	2020-03-30	90	90	Danish lineage	-
B.1.375	United States of America 96.0%, India 2.0%, Germany 1.0%, Spain 1.0%, Mexico 0.0%	2020-07-22	553	986	USA lineage (circulating in Connecticut with the 69-70del, which leads to SGTF. However, they express 484E and 501N in their spike proteins.)	-
B.1.377	United States of America 94.0%, United Kingdom 6.0%, India 0.0%	2020-04-19	64	218	USA and England	-
B.1.378	United States of America 93.0%, India 2.0%, Cuba 2.0%, The_Bahamas 2.0%, Germany 1.0%	2020-03-14	52	121	USA	-
B.1.379	United Kingdom 87.0%, Madagascar 4.0%, United States of America 4.0%, Sierra_Leone 1.0%, South_Africa 1.0%	2020-03-16	36	68	UK	-
B.1.380	Rwanda 92.0%, India 2.0%, Uganda 2.0%, United States of America 2.0%, Italy 1.0%	2020-03-04	113	130	Rwanda / Uganda	-
B.1.381	South_Africa 97.0%, United Kingdom 3.0%, Zimbabwe 1.0%	2020-04-14	65	119	South Africa	-
B.1.382	United States of America 98.0%, Canada 1.0%, Belgium 1.0%	2020-04-13	47	102	USA	-
B.1.383	United Kingdom 89.0%, United States of America 5.0%, Netherlands 3.0%, Ireland 2.0%, Singapore 2.0%	2020-03-01	100	109	Wales	-
B.1.384	United States of America 99.0%, Australia 0.0%, Turkey 0.0%	2020-03-15	279	321	USA lineage	-
B.1.385	United States of America 78.0%, Ecuador 5.0%, Colombia 3.0%, Canada 2.0%, India 2.0%	2020-06-22	54	104	USA	-
B.1.387	France 100.0%	2020-03-06	24	24	French lineage	-
B.1.388	Cote_d'Ivoire 78.0%, Burkina_Faso 22.0%	2020-06-10	8	9	Cote d'Ivoire lineage	-
B.1.389	United Kingdom 82.0%, Denmark 5.0%, Germany 2.0%, Switzerland 2.0%, Spain 1.0%	2020-08-02	590	797	England + Europe	-
B.1.390	United States of America 86.0%, India 9.0%, Kenya 2.0%, Mexico 1.0%, Canada 1.0%	2020-03-25	63	98	USA	-
B.1.391	United Kingdom 87.0%, United States of America 6.0%, Canada 1.0%, Australia 1.0%, India 1.0%	2020-03-09	632	864	UK	-
B.1.393	Uganda 78.0%, Kenya 14.0%, Rwanda 6.0%, Djibouti 3.0%	2020-05-29	18	36	Uganda	-
B.1.395	United Kingdom 68.0%, Turkey 16.0%, United States of America 10.0%, Canada 2.0%, Norway 2.0%	2020-03-06	82	125	Wales	-
B.1.396	United States of America 95.0%, Mexico 4.0%, United Kingdom 0.0%, India 0.0%, Canada 0.0%	2020-04-10	499	1415	USA lineage	-
B.1.397	United States of America 82.0%, Mexico 18.0%, India 1.0%	2020-04-07	56	182	USA lineage	-
B.1.398	Denmark 35.0%, Lebanon 31.0%, United Kingdom 6.0%, Germany 6.0%, Saudi_Arabia 4.0%	2020-01-10	198	393	European lineage	-
B.1.399	United States of America 94.0%, Mexico 3.0%, Turkey 2.0%, Japan 0.0%, India 0.0%	2020-04-26	211	464	USA	-
B.1.400	United States of America 98.0%, Mexico 1.0%, Japan 0.0%, Canada 0.0%, Switzerland 0.0%	2020-04-15	519	2294	USA lineage	-
B.1.400.1	United States of America 97.0%, India 2.0%, Mexico 2.0%	2020-11-09	38	61	USA lineage, from pango-designation issue #94	-
B.1.401	United States of America 91.0%, Israel 5.0%, Denmark 2.0%, Germany 1.0%, Norway 1.0%	2020-06-04	55	128	USA lineage	-
B.1.402	United States of America 79.0%, Sweden 21.0%, Ethiopia 1.0%	2020-06-19	57	151	USA lineage	-
B.1.403	United States of America 99.0%, Turkey 0.0%, India 0.0%	2020-04-07	64	262	USA lineage	-
B.1.404	United States of America 96.0%, Mexico 2.0%, Canada 1.0%, Zambia 0.0%, Ethiopia 0.0%	2020-03-16	134	733	USA lineage	-
B.1.405	United States of America 92.0%, Canada 5.0%, Mexico 4.0%	2020-04-30	26	83	USA lineage	-
B.1.406	Germany 58.0%, Denmark 18.0%, Sweden 10.0%, Switzerland 6.0%, United Kingdom 4.0%	2020-07-06	101	166	Germany/ UK lineage	-
B.1.407	United Kingdom 100.0%	2020-06-09	19	26	UK lineage	-
B.1.408	United Kingdom 47.0%, Romania 25.0%, Spain 10.0%, Netherlands 5.0%, Germany 3.0%	2020-05-12	107	261	UK/ Romanian lineage	-
B.1.409	United States of America 99.0%, Canada 0.0%, United Kingdom 0.0%, Israel 0.0%, Australia 0.0%	2020-07-13	352	1201	USA lineage	-
B.1.411	Sri_Lanka 86.0%, Japan 3.0%, Poland 2.0%, Belgium 1.0%, United Kingdom 1.0%	2020-04-19	71	252	Sri Lankan lineage	-
B.1.413	United States of America 92.0%, Canada 4.0%, New_Zealand 1.0%, United Kingdom 1.0%, Guatemala 1.0%	2020-03-12	137	193	USA	-
B.1.415	United States of America 51.0%, Canada 29.0%, Australia 6.0%, Chile 5.0%, Mexico 3.0%	2020-03-16	53	63	USA	-
B.1.415.1	Mexico 59.0%, United States of America 12.0%, Croatia 10.0%, Spain 8.0%, Germany 5.0%	2020-11-30	64	145	Predominantly Mexico lineage, from pango-designation issue #157	-
B.1.416	Senegal 28.0%, Gambia 23.0%, France 14.0%, Canada 8.0%, Lithuania 6.0%	2020-04-06	348	727	Senegal/ Gambian lineage, reassigned from B.1.5.12	-
B.1.416.1	Switzerland 36.0%, Spain 16.0%, United Kingdom 16.0%, France 11.0%, Mayotte 5.0%	2020-06-28	325	604	European lineage within diversity of B.1.416. Previously assigned E.1	-
B.1.417	South_Africa 85.0%, Egypt 8.0%, Spain 4.0%, United States of America 4.0%	2020-04-02	22	26	South African lineage	-
B.1.418	United Kingdom 100.0%	2020-04-24	47	63	Scottish lineage	-
B.1.420	Colombia 70.0%, United States of America 27.0%, United Kingdom 2.0%, Canada 2.0%	2020-03-16	29	56	Colombian lineage	-
B.1.421	United States of America 98.0%, Germany 1.0%, Hong_Kong 1.0%, Canada 1.0%	2020-07-15	35	144	USA lineage	-
B.1.422	Canada 98.0%, United States of America 1.0%, Hong_Kong 0.0%, Singapore 0.0%, Norway 0.0%	2020-03-13	423	521	Canada mostly	-
B.1.423	United States of America 99.0%, Switzerland 1.0%	2020-07-01	60	93	USA lineage	-
B.1.424	United States of America 100.0%	2020-03-16	106	118	USA lineage	-
B.1.425	United States of America 96.0%, India 4.0%	2020-05-07	233	322	USA lineage	-
B.1.426	United States of America 97.0%, Puerto_Rico 2.0%, Argentina 0.0%, Northern_Mariana_Islands 0.0%, Canada 0.0%	2020-04-06	726	974	USA (UT) lineage	-
B.1.427	United States of America 98.0%, Mexico 1.0%, Aruba 0.0%, Argentina 0.0%, Canada 0.0%	2020-04-11	867	20553	USA lineage (CA)	-
B.1.428	Qatar 60.0%, Denmark 34.0%, Australia 2.0%, Sri_Lanka 1.0%, Sweden 1.0%	2020-03-03	334	905	Danish lineage (amalgam of Danish sequences from B.1.358, B.1.288, B.1.262)	-
B.1.428.1	Iraq 62.0%, Qatar 34.0%, United States of America 4.0%	2020-04-27	29	47	Iraq	-
B.1.428.2	Tunisia 39.0%, France 19.0%, Italy 17.0%, United Kingdom 8.0%, Germany 6.0%	2020-04-07	10	36	Tunisia, England, France	-
B.1.428.3	Qatar 72.0%, Sri_Lanka 9.0%, United_Arab_Emirates 8.0%, Malaysia 4.0%, Australia 4.0%	2020-05-22	8	78	UAE, Jordan	-
B.1.429	United States of America 97.0%, Canada 2.0%, Mexico 1.0%, South_Korea 0.0%, Chile 0.0%	2020-01-26	2132	43989	A lineage predominantly circulating in California but with exports to other countries. Characterised by the spike L452R mutation but also has spike:W152C orf1ab:D5584Y and N:T205I.	-
B.1.429.1	United States of America 100.0%	2020-11-28	28	52	Colorado lineage from pango-designation issue #37	-
B.1.431	United Kingdom 100.0%	2020-03-30	17	25	Scotland	-
B.1.432	United States of America 98.0%, India 2.0%	2020-04-25	37	81	USA lineage	-
B.1.433	United States of America 97.0%, India 1.0%, Angola 1.0%, Indonesia 0.0%, Puerto_Rico 0.0%	2020-07-15	104	320	USA lineage	-
B.1.434	Australia 88.0%, United States of America 12.0%	2020-03-22	16	17	Australian lineage (previously a couple part of B.1.25, B.1.295)	-
B.1.435	United States of America 100.0%	2020-04-10	61	77	USA - UT	-
B.1.436	United States of America 100.0%	2020-07-08	55	866	USA liniage reassigned from previous tree	-
B.1.437	United States of America 98.0%, Germany 2.0%	2020-06-03	37	42	USA - FL	-
B.1.438	Turkey 22.0%, Canada 20.0%, United Kingdom 16.0%, United_Arab_Emirates 11.0%, Denmark 11.0%	2020-01-10	62	158	Lineage circulating in multiple countries	-
B.1.438.1	Canada 100.0%, United States of America 0.0%, Mexico 0.0%, United Kingdom 0.0%, Germany 0.0%	2020-08-05	454	8529	Canada lineage	-
B.1.438.2	Mayotte 82.0%, Reunion 18.0%	2021-01-06	53	51	Mayotte and Reunion lineage	-
B.1.438.3	United States of America 100.0%	2020-12-09	10	13	USA lineage	-
B.1.438.4	United States of America 100.0%	2020-10-19	22	50	USA lineage	-
B.1.439	United States of America 62.0%, United Kingdom 20.0%, Canada 8.0%, Nicaragua 5.0%, Norway 2.0%	2020-03-13	115	151	USA	-
B.1.441	United States of America 27.0%, United Kingdom 25.0%, Kuwait 11.0%, Hong_Kong 6.0%, Denmark 5.0%	2020-03-13	65	102	Global lineage (inc. merge of B.1.274)	-
B.1.442	United States of America 84.0%, France 10.0%, South_Korea 3.0%, Sweden 3.0%	2020-03-12	24	31	USA	-
B.1.443	United States of America 99.0%, Germany 1.0%, Canada 1.0%	2020-03-18	85	193	USA lineage	-
B.1.444	United States of America 100.0%	2020-05-21	13	42	USA Utah lineage	-
B.1.445	United States of America 99.0%, Switzerland 1.0%	2020-04-05	60	69	USA (AZ)	-
B.1.446	United States of America 94.0%, United Kingdom 2.0%, India 2.0%, Switzerland 2.0%	2020-03-13	30	50	USA, some B.1.333	-
B.1.448	United States of America 99.0%, Finland 1.0%	2020-04-15	86	348	USA lineage	-
B.1.450	United States of America 95.0%, Turkey 1.0%, Guatemala 1.0%, Senegal 1.0%, India 1.0%	2020-03-14	65	88	USA (TX)	-
B.1.451	United States of America 99.0%, Mexico 1.0%	2020-04-18	66	114	USA lineage (VA), previously B.1.328 and B.1.317	-
B.1.452	United States of America 97.0%, Ireland 1.0%, Australia 1.0%	2020-05-12	65	76	USA (CA)	-
B.1.453	United States of America 97.0%, Russia 1.0%, Mexico 1.0%, Panama 0.0%, Canada 0.0%	2020-03-17	184	316	USA (CA and TX)	-
B.1.456	India 36.0%, Indonesia 27.0%, Canada 9.0%, Singapore 5.0%, Denmark 4.0%	2020-02-20	24	160	SE Asian (reasigned)	-
B.1.458	India 100.0%	2020-05-25	9	9	India	-
B.1.459	Indonesia 63.0%, Japan 10.0%, India 9.0%, United States of America 5.0%, Singapore 3.0%	2020-03-18	85	297	Indonesia	-
B.1.460	United Kingdom 98.0%, United States of America 2.0%	2020-08-20	32	48	UK lineage	-
B.1.462	United States of America 34.0%, Nigeria 33.0%, United Kingdom 5.0%, India 5.0%, Aruba 4.0%	2020-04-20	26	73	UK/Nigera	-
B.1.463	Finland 95.0%, India 2.0%, Estonia 2.0%, Denmark 1.0%	2020-09-10	121	126	Finland	-
B.1.465	United Kingdom 71.0%, Austria 9.0%, Finland 7.0%, Denmark 4.0%, India 4.0%	2020-03-10	187	254	UK, contains B.1.466 which is reassigned (see below)	-
B.1.466	Egypt 24.0%, Sweden 22.0%, Italy 11.0%, United Kingdom 7.0%, United States of America 4.0%	2020-04-30	18	45	Global lineage containing two new sublineages (see below)	-
B.1.466.1	United_Arab_Emirates 25.0%, United States of America 18.0%, Philippines 18.0%, United Kingdom 12.0%, Denmark 3.0%	2020-05-26	35	130	USA/UAE	-
B.1.466.2	Indonesia 72.0%, East Timor 9.0%, Malaysia 6.0%, Papua_New_Guinea 5.0%, Singapore 3.0%	2020-08-06	47	2838	Indonesia	-
AU.1	Papua_New_Guinea 98.0%, Australia 2.0%, Philippines 0.0%	2021-01-01	339	734	Alias of B.1.466.2.1, predominantly Papua New Guinea with some Australia sequences	-
AU.2	Malaysia 95.0%, Indonesia 5.0%, United States of America 0.0%, Singapore 0.0%	2021-01-03	24	468	Alias of B.1.466.2.2, Malaysia lineage	-
AU.3	Papua_New_Guinea 90.0%, Australia 8.0%, Indonesia 1.0%, Singapore 1.0%, Malaysia 0.0%	2021-02-09	47	556	Alias of B.1.466.2.3, predominantly Australia with some Papua New Guinea and Singapore sequences	-
B.1.467	Nigeria 41.0%, Switzerland 32.0%, Italy 14.0%, United Kingdom 9.0%, Lebanon 5.0%	2020-05-17	17	22	Nigeria/Switzerland	-
B.1.468	Indonesia 55.0%, Singapore 16.0%, Saudi_Arabia 9.0%, India 5.0%, Hong_Kong 2.0%	2020-02-13	56	150	Indonesia/Sinagpore. Seq names missassigned in original file	-
B.1.469	United Kingdom 30.0%, Turkey 27.0%, Germany 21.0%, Denmark 8.0%, Switzerland 3.0%	2020-08-21	97	256	European (Turkey, Denmark, UK)	-
B.1.470	Indonesia 75.0%, Malaysia 5.0%, India 4.0%, South_Korea 3.0%, Singapore 3.0%	2020-04-09	112	796	Indonesia/Singapore	-
B.1.471	United Kingdom 63.0%, Norway 8.0%, Denmark 6.0%, Pakistan 6.0%, United States of America 4.0%	2020-03-25	214	356	UK with global representaion	-
B.1.473	United States of America 90.0%, United Kingdom 3.0%, Colombia 3.0%, Denmark 3.0%	2020-03-08	25	30	USA lineage	-
B.1.474	Sweden 47.0%, Luxembourg 19.0%, Denmark 15.0%, United States of America 8.0%, France 6.0%	2020-09-21	148	540	Denmark/ Luxemboug lineage	-
B.1.475	Germany 88.0%, United States of America 12.0%	2020-04-05	7	8	German lineage	-
B.1.476	Cote_d'Ivoire 45.0%, United States of America 27.0%, Nigeria 9.0%, France 9.0%, India 9.0%	2020-03-29	6	11	West African lineage	-
B.1.478	United States of America 92.0%, Haiti 4.0%, Dominican_Republic 2.0%, Canada 1.0%	2020-05-12	28	91	USA lineage	-
B.1.479	United States of America 96.0%, Canada 4.0%	2020-03-25	14	25	USA lineage	-
B.1.480	Denmark 35.0%, Canada 17.0%, Sweden 14.0%, United Kingdom 6.0%, Germany 6.0%	2020-07-03	59	380	England, Australia, Sweden, Norway	-
B.1.482	France 31.0%, Cote_d'Ivoire 23.0%, Japan 15.0%, Burkina_Faso 8.0%, Slovenia 8.0%	2020-03-17	7	13	France/ West African lineage	-
B.1.483	United States of America 100.0%	2020-03-15	9	9	USA lineage	-
B.1.485	United States of America 100.0%	2020-03-25	52	60	USA lineage	-
B.1.486	United States of America 100.0%	2020-04-28	9	9	USA (MA)	-
B.1.487	United States of America 100.0%	2020-05-24	34	53	USA - TX	-
B.1.488	Sweden 67.0%, United States of America 17.0%, Denmark 17.0%	2020-07-13	5	6	Denmark and Sweden	-
B.1.489	United Kingdom 86.0%, Kenya 5.0%, Republic of Serbia 5.0%, Norway 5.0%	2020-03-26	23	22	Wales and Norway	-
B.1.490	Finland 100.0%	2020-04-20	9	10	Finland.	-
B.1.491	United Kingdom 94.0%, United States of America 6.0%	2020-03-14	18	18	England	-
B.1.492	United States of America 100.0%	2020-02-02	47	101	USA - Colorado	-
B.1.493	United States of America 100.0%	2020-04-07	16	38	USA (FL)	-
B.1.494	United States of America 100.0%	2020-03-15	25	30	USA (Split from B.1.3)	-
B.1.495	United States of America 98.0%, Kenya 1.0%, Turkey 1.0%	2020-04-19	55	111	USA (Split from B.1.3)	-
B.1.496	United States of America 100.0%	2020-03-15	5	5	USA (could be dissolved - sequences jumped out, previously split from B.1.3)	-
B.1.497	South_Korea 99.0%, United States of America 1.0%, India 0.0%, Slovenia 0.0%, Italy 0.0%	2020-05-05	1530	3156	South Korea (was B.1.3.1)	-
B.1.498	United States of America 84.0%, Denmark 8.0%, Canada 4.0%, Argentina 4.0%	2020-04-27	36	49	USA (Split from B.1.3)	-
B.1.499	Argentina 94.0%, Paraguay 1.0%, United States of America 1.0%, Mexico 1.0%, Brazil 1.0%	2020-01-01	294	933	Mostly Argentina, some Spain, NL, Hong Kong (was B.1.3.2)	-
B.1.499.1	United States of America 86.0%, Argentina 14.0%	2020-08-25	5	7	USA lineage	-
B.1.500	United States of America 100.0%	2020-08-10	10	10	USA (split from B.1.3)	-
B.1.501	United States of America 99.0%, Brazil 1.0%	2020-04-27	93	128	USA (Split from B.1.3)	-
B.1.502	United States of America 100.0%	2020-06-07	19	19	USA (Split from B.1.3)	-
B.1.503	United States of America 97.0%, Argentina 1.0%, Puerto_Rico 1.0%, Mexico 0.0%, Slovenia 0.0%	2020-04-01	206	381	USA (Split from B.1.3)	-
B.1.504	Israel 90.0%, United Kingdom 7.0%, Palestine 3.0%	2020-04-19	26	29	Israel and England (was B.1.3.3)	-
B.1.505	Canada 84.0%, United Kingdom 12.0%, Israel 5.0%	2020-03-15	44	287	Israel and england (was B.1.3.4)	-
B.1.506	United States of America 100.0%	2020-04-20	33	36	USA (NY, split from B.1.3)	-
B.1.507	United States of America 99.0%, India 1.0%	2020-03-15	70	83	USA (MI, NY, split from B.1.3)	-
B.1.508	United States of America 100.0%	2020-04-28	37	39	USA (NY, AZ, split from B.1.3)	-
B.1.509	United States of America 97.0%, Switzerland 1.0%, Canada 1.0%, Puerto_Rico 0.0%, Sierra_Leone 0.0%	2020-04-18	562	1092	USA (split from B.1.3, mostly FL)	-
B.1.510	United States of America 32.0%, Denmark 21.0%, Sweden 11.0%, Iceland 11.0%, Norway 7.0%	2020-03-06	16	28	Iceland, Sweden, North America (could be dissolved)	-
B.1.511	United States of America 96.0%, Turkey 4.0%	2020-05-02	23	26	USA lineage	-
B.1.513	Austria 74.0%, Germany 11.0%, United States of America 6.0%, Denmark 4.0%, Russia 1.0%	2020-03-09	71	72	Northern Europe	-
B.1.515	United States of America 94.0%, India 3.0%, Canada 2.0%, Finland 2.0%	2020-04-17	50	64	USA (Utah)	-
B.1.516	United States of America 99.0%, Egypt 0.0%, Kenya 0.0%, Colombia 0.0%	2020-03-11	427	520	USA (AZ and NM)	-
B.1.517	United States of America 99.0%, Canada 0.0%, Egypt 0.0%, India 0.0%, Cabo_Verde 0.0%	2020-03-31	413	2155	USA (mostly AZ)	-
B.1.517.1	Australia 98.0%, United States of America 2.0%	2020-12-02	172	189	Australia	-
B.1.518	United States of America 99.0%, Qatar 1.0%	2020-03-21	26	88	USA	-
B.1.520	Romania 35.0%, Germany 28.0%, Sweden 16.0%, United Kingdom 5.0%, United States of America 5.0%	2020-03-25	17	43	USA, Canada, England, Germany etc. (could be dissolved / reassigned to B.1)	-
B.1.521	United States of America 96.0%, Canada 4.0%, Australia 1.0%	2020-03-21	126	194	USA lineage	-
B.1.523	United Kingdom 46.0%, Denmark 21.0%, Canada 17.0%, United States of America 3.0%, Turkey 3.0%	2020-03-29	203	390	UK/Australia	-
B.1.524	Malaysia 72.0%, Singapore 13.0%, United States of America 4.0%, Thailand 4.0%, Philippines 1.0%	2020-05-01	202	727	Malaysian lineage	-
B.1.525	Canada 20.0%, United States of America 15.0%, Germany 9.0%, France 8.0%, Denmark 7.0%	2020-03-25	154	8586	International lineage with E484K, del69-70 among other defining mutations.	-
B.1.526	United States of America 97.0%, Ecuador 1.0%, Canada 1.0%, Puerto_Rico 1.0%, Spain 0.0%	2020-01-28	253	40414	A lineage predominantly circulating in New York but with a few exports to other countries. Characterised by spike mutations T95I and D253G, plus others. The most frequent spike mutation pattern is L5F T95I D253G E484K D614G A701V, with a smaller fraction having S477N instead of E484K. Spike mutation E484K is present in about half of this lineage (as of 2021-02-10) - Very possible not all new additions carry T95I and D253G (someone should check this, e.g. for USA/NY-Wadsworth-21008455-01/2021 and Aruba/AW-RIVM-11403/2021)	-
B.1.527	Estonia 37.0%, Czech_Republic 14.0%, United States of America 8.0%, Finland 6.0%, Germany 5.0%	2020-03-24	69	238	Czech Republic/ Ukraine lineage	-
B.1.528	Morocco 100.0%	2020-04-23	20	21	Moroccan lineage	-
B.1.529	France 100.0%	2020-04-02	18	18	French lineage	-
B.1.530	Kenya 86.0%, United States of America 4.0%, Germany 4.0%, Denmark 2.0%, Turkey 2.0%	2020-10-01	10	114	Kenya	-
B.1.531	United Kingdom 100.0%	2020-11-18	11	13	England	-
B.1.532	United Kingdom 100.0%	2020-07-04	106	159	England	-
B.1.533	Saudi_Arabia 24.0%, India 20.0%, United States of America 11.0%, Egypt 11.0%, Switzerland 7.0%	2020-03-24	13	46	Saudi Arabia	-
B.1.534	Denmark 100.0%	2020-11-02	56	79	Denmark	-
B.1.535	Australia 86.0%, Egypt 7.0%, Kenya 3.0%, Germany 3.0%	2020-03-22	28	29	Australia	-
B.1.536	Denmark 100.0%	2020-10-26	27	42	Denmark	-
B.1.537	India 91.0%, United States of America 9.0%	2020-05-24	20	34	India	-
B.1.538	India 94.0%, Canada 5.0%, United States of America 1.0%	2020-05-16	24	94	India	-
B.1.539	United States of America 100.0%	2020-10-25	14	59	USA	-
B.1.540	India 92.0%, United Kingdom 3.0%, United States of America 3.0%, Panama 1.0%, Germany 1.0%	2020-03-27	34	72	India	-
B.1.541	United States of America 98.0%, South_Korea 0.0%, Japan 0.0%, Luxembourg 0.0%, Australia 0.0%	2020-07-01	135	212	USA lineage	-
B.1.542	Spain 100.0%	2020-03-24	26	27	Spain	-
B.1.543	United States of America 89.0%, Canada 6.0%, India 3.0%, Puerto_Rico 1.0%	2020-08-30	33	94	USA	-
B.1.544	United States of America 87.0%, Republic_of_the_Congo 7.0%, Canada 1.0%, India 1.0%, Egypt 1.0%	2020-03-31	51	157	Congo/ Cameroon/ USA lineage	-
B.1.545	United States of America 37.0%, New_Zealand 33.0%, Poland 13.0%, Philippines 3.0%, Turkey 3.0%	2020-03-25	10	30	New Zealand	-
B.1.546	United States of America 100.0%	2020-05-23	174	287	USA	-
B.1.547	Canada 46.0%, Panama 44.0%, Peru 5.0%, United States of America 2.0%, Brazil 2.0%	2020-03-13	16	41	Canada	-
B.1.548	India 100.0%	2020-05-29	24	25	India	-
B.1.549	Kenya 87.0%, United Kingdom 12.0%, United States of America 2.0%	2020-05-11	32	179	Kenya + England	-
B.1.550	United States of America 100.0%	2020-07-31	55	72	USA lineage	-
B.1.551	United States of America 90.0%, Mexico 8.0%, Canada 1.0%, United Kingdom 0.0%, Philippines 0.0%	2020-08-20	112	836	USA lineage	-
B.1.552	United States of America 52.0%, Canada 27.0%, Australia 19.0%, Singapore 2.0%, Iceland 2.0%	2020-03-30	49	64	North American	-
B.1.554	United States of America 99.0%, Japan 1.0%	2020-04-21	66	87	USA (UT) lineage	-
B.1.555	Sweden 79.0%, Russia 7.0%, United States of America 5.0%, Philippines 2.0%, United Kingdom 2.0%	2020-03-11	39	43	Sweden	-
B.1.556	United States of America 99.0%, Mexico 1.0%, Australia 1.0%	2020-06-10	83	135	USA lineage	-
B.1.557	United Kingdom 100.0%	2020-04-06	14	19	Northern Ireland	-
B.1.558	United States of America 73.0%, Mexico 23.0%, Guatemala 1.0%, Canada 1.0%, Czech_Republic 0.0%	2020-04-06	88	226	USA/ Mexico lineage	-
B.1.559	United Kingdom 98.0%, United States of America 2.0%	2020-03-29	31	40	Scotland	-
B.1.560	India 99.0%, United States of America 0.0%, Hong_Kong 0.0%, Germany 0.0%, Canada 0.0%	2020-05-13	49	1173	India	-
B.1.561	United States of America 90.0%, Canada 5.0%, Mexico 5.0%, Aruba 0.0%, Peru 0.0%	2020-06-18	335	2694	USA - contains previous B.1.404	-
B.1.562	Ireland 68.0%, United Kingdom 23.0%, Netherlands 4.0%, Denmark 2.0%, Belgium 2.0%	2020-10-10	21	53	England base, to Ireland	-
B.1.563	United States of America 41.0%, United Kingdom 37.0%, Germany 19.0%, Canada 3.0%	2020-12-06	18	63	UK lineage	-
B.1.564	United States of America 99.0%, New_Zealand 0.0%, Mexico 0.0%, Canada 0.0%, Philippines 0.0%	2020-03-11	1024	2267	USA lineage, split out from B.1.369	-
B.1.564.1	Canada 99.0%, United States of America 1.0%, Australia 0.0%	2020-08-23	150	343	Canada lineage	-
B.1.565	United States of America 92.0%, Slovenia 2.0%, Denmark 2.0%, Germany 1.0%, Switzerland 1.0%	2020-06-18	414	1169	USA - contains previous B.1.139	-
B.1.566	United States of America 68.0%, Canada 5.0%, Spain 5.0%, Brazil 4.0%, Philippines 4.0%	2020-03-16	37	78	USA - Arizona and Texas	-
B.1.567	United States of America 98.0%, Canada 2.0%, Mexico 0.0%	2020-03-23	104	274	USA lineage, formally part of B.1.2	-
B.1.568	United States of America 96.0%, Canada 4.0%, United Kingdom 0.0%, France 0.0%, Australia 0.0%	2020-10-05	111	793	USA lineage, split out from B.1.361	-
B.1.569	United States of America 100.0%	2020-08-03	28	65	USA (CA and TX)	-
B.1.570	United States of America 96.0%, Canada 1.0%, Israel 1.0%, Ireland 0.0%, Spain 0.0%	2020-05-26	20	358	USA (CO)	-
B.1.571	United States of America 100.0%	2020-06-01	55	105	USA lineage, split out from B.1.369	-
B.1.572	United States of America 100.0%	2020-04-02	33	41	USA, split from B.1.325	-
B.1.573	Canada 99.0%, Ethiopia 1.0%	2020-06-24	162	164	Canada (BC)	-
B.1.574	United States of America 100.0%	2020-06-07	231	428	USA lineage, split out from B.1.363	-
B.1.575	United States of America 85.0%, Spain 3.0%, Dominican_Republic 2.0%, Turkey 2.0%, India 2.0%	2020-06-23	1535	3291	"USA and Aruba lineage with spike mutations ""S:P681H"",""S:S494P"" and ""S:T716I""."	-
B.1.575.1	Spain 85.0%, Germany 5.0%, United States of America 2.0%, Switzerland 2.0%, Sweden 1.0%	2020-11-30	168	383	"Spainish sub lineage of B.1.575 with spike mutations ""S:P681H"",""S:S494P"" and ""S:T716I""."	-
B.1.575.2	Spain 93.0%, Italy 2.0%, United States of America 2.0%, Dominican_Republic 1.0%, France 1.0%	2020-09-14	89	208	Spain lineage, from pango-designation issue #116	-
B.1.576	United States of America 92.0%, India 2.0%, Germany 1.0%, Ireland 0.0%, France 0.0%	2020-03-25	420	934	USA lineage, formally part of B.1.363	-
B.1.577	United States of America 91.0%, Canada 9.0%, Mexico 0.0%, United Kingdom 0.0%, Togo 0.0%	2020-04-04	363	1420	USA lineage, formally part of B.1.2	-
B.1.578	United States of America 95.0%, Mexico 4.0%, Canada 2.0%	2020-03-13	19	57	USA, formally part of B.1.313	-
B.1.579	United States of America 100.0%	2020-04-13	73	82	USA (AZ) formally part of B.1.516	-
B.1.580	United States of America 68.0%, Germany 26.0%, Puerto_Rico 3.0%, India 1.0%, Slovenia 1.0%	2020-07-13	34	117	USA Southern (some B.1.361)	-
B.1.581	United States of America 98.0%, Argentina 1.0%, Spain 1.0%	2020-06-18	61	112	USA (TX)	-
B.1.582	United States of America 98.0%, Denmark 1.0%, Maldives 0.0%, Brazil 0.0%, United Kingdom 0.0%	2020-04-11	775	2007	USA (TX some B.1.361)	-
